50
Processing time
19	25	1	6	9	26	26	18	40	20	17	40	43	19	26	3	40	47	23	10	3	25	48	27	2	21	18	28	5	13	5	46	10	33	17	22	49	14	35	47	28	28	17	23	21	3	40	10	31	10	
Weights
2	1	8	7	11	4	2	7	8	2	4	7	6	9	3	1	5	3	8	6	7	2	4	7	3	11	3	1	8	6	4	3	9	5	7	2	11	7	2	3	9	7	4	4	11	8	3	7	7	5	
Release time
1808	1982	11	147	643	2104	1751	399	2513	1982	1384	1350	3762	125	356	11	1987	3768	55	147	60	591	495	2699	32	2000	653	1567	475	91	437	160	431	3052	367	1425	3776	1169	507	3041	764	1251	1461	1156	470	125	2285	822	1586	234	
SSD
0	39	36	32	28	46	45	36	70	39	35	42	58	38	50	12	47	40	40	33	22	40	83	46	35	41	37	42	23	31	31	47	26	43	35	41	95	35	38	71	53	50	36	40	38	15	67	30	49	37	
45	0	10	41	23	51	51	43	54	41	39	55	82	49	51	30	67	91	47	28	31	50	64	53	21	49	37	51	22	30	46	72	37	65	40	47	75	40	59	57	54	53	39	47	48	33	74	40	51	31	
18	43	0	3	15	9	21	14	77	16	20	53	80	10	42	5	38	61	21	8	2	2	88	13	2	29	31	49	3	24	8	16	13	22	27	24	88	13	6	12	20	53	22	16	17	2	73	12	26	13	
23	15	5	0	16	42	46	18	20	21	26	75	75	21	18	7	32	83	35	14	6	31	73	22	11	37	30	18	10	16	10	87	17	48	18	19	83	17	41	60	30	12	26	31	20	8	70	16	53	12	
32	36	16	17	0	37	29	25	21	36	25	32	34	18	51	10	34	22	24	18	6	28	60	47	11	40	27	46	16	18	11	59	18	35	20	26	25	23	29	64	20	40	27	37	41	7	56	18	61	18	
49	51	47	34	43	0	52	38	64	49	42	66	78	43	52	48	59	67	51	27	39	50	75	52	12	50	49	52	26	42	42	60	26	64	40	44	53	48	68	69	54	52	48	50	46	37	60	41	55	37	
45	51	38	37	22	52	0	38	71	43	42	59	54	39	52	9	77	52	47	40	7	51	65	52	19	43	40	54	10	43	24	78	29	56	42	46	59	29	61	77	55	54	51	48	43	31	76	44	55	22	
37	41	6	13	34	44	45	0	56	38	34	61	68	36	44	34	65	78	42	22	31	47	77	49	34	36	36	55	12	32	28	51	23	42	35	40	80	33	41	79	48	37	34	40	38	8	67	22	36	29	
59	54	71	21	55	58	63	40	0	40	58	80	80	64	61	73	80	91	60	35	51	56	88	74	62	63	58	75	53	35	30	83	74	78	59	65	88	33	79	87	62	79	75	64	66	71	80	79	69	79	
39	48	34	24	37	45	47	37	47	0	37	48	59	38	44	19	64	44	44	29	28	47	86	41	32	41	38	53	12	30	17	74	28	50	37	40	95	28	65	63	47	55	38	43	41	12	49	22	58	34	
34	43	28	15	28	36	44	35	59	38	0	63	52	35	41	12	37	75	40	20	20	38	53	36	12	36	34	48	10	26	12	53	27	36	34	41	72	30	64	66	48	47	34	44	40	14	63	23	38	27	
72	71	40	36	69	78	68	50	80	52	65	0	80	49	60	10	80	93	63	24	27	73	91	61	33	70	68	64	27	77	10	89	42	70	41	49	87	50	77	91	71	58	62	70	44	79	80	79	65	77	
57	66	17	59	54	78	57	78	82	75	39	85	0	72	75	17	82	90	73	28	51	73	92	60	9	59	52	75	33	64	41	89	41	79	81	83	95	37	84	88	83	71	43	67	45	22	83	74	81	75	
38	40	33	29	37	46	43	36	67	39	36	51	46	0	46	16	69	74	44	27	6	45	54	38	10	39	37	45	19	28	10	90	25	57	34	41	71	30	59	73	54	38	35	43	40	20	64	22	45	31	
